Data run started at:  Tuesday, October 17, 2017	3:14:31 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
12.469122	1.029276	0.801333	318.601000
12.490381	1.044451	0.802664	319.101000
12.510967	1.058499	0.804032	319.601000
12.530853	1.072131	0.805403	320.101000
12.550038	1.086770	0.806744	320.602000
12.570080	1.101388	0.808184	321.101000
12.590623	1.116386	0.809561	321.601000
12.613878	1.130664	0.811054	322.101000
12.634722	1.143971	0.812413	322.601000
12.655921	1.156181	0.813616	323.101000
12.676135	1.167402	0.814912	323.602000
12.697088	1.177872	0.816271	324.101000
12.718748	1.187474	0.817685	324.601000
12.737967	1.196346	0.819072	325.101000
12.757548	1.205373	0.820461	325.601000
12.778015	1.213753	0.821873	326.101000
12.799375	1.222471	0.823236	326.601000
12.821994	1.230857	0.824692	327.101000
12.842797	1.238693	0.826112	327.601000
12.863095	1.247403	0.827568	328.101000
12.883503	1.256542	0.828993	328.601000
12.905564	1.263798	0.830383	329.102000
12.926490	1.270072	0.831707	329.601000
12.947562	1.276547	0.833071	330.102000
12.968923	1.282203	0.834605	330.601000
12.991856	1.287847	0.835808	331.101000
13.014745	1.293177	0.836945	331.601000
13.036721	1.298102	0.838348	332.101000
13.058776	1.302247	0.839846	332.601000
13.080907	1.305966	0.841501	333.101000
13.103245	1.309601	0.843104	333.601000
13.125681	1.312681	0.844743	334.101000
13.147811	1.315498	0.846323	334.601000
13.168515	1.317472	0.847897	335.102000
13.190210	1.319243	0.849372	335.601000
13.211810	1.321820	0.850651	336.101000
13.233220	1.323951	0.852083	336.601000
13.254999	1.325287	0.853717	337.101000
13.279574	1.326571	0.855359	337.601000
13.301190	1.328681	0.857045	338.102000
13.321870	1.329714	0.858731	338.601000
13.341526	1.329651	0.860401	339.101000
13.362676	1.329498	0.862071	339.601000
13.384397	1.330468	0.863560	340.101000
13.405448	1.331244	0.865041	340.601000
13.425854	1.330630	0.866701	341.101000
13.447434	1.329853	0.868252	341.601000
13.469003	1.327523	0.869826	342.101000
13.490536	1.325303	0.871467	342.601000
13.511444	1.322641	0.873098	343.101000
13.532281	1.319688	0.874630	343.601000
13.553642	1.317199	0.876272	344.101000
13.575767	1.314260	0.878006	344.602000
13.597329	1.310368	0.879689	345.101000
13.619346	1.305809	0.881170	345.601000
13.640870	1.300896	0.882597	346.101000
13.661772	1.295284	0.884220	346.601000
13.683348	1.290180	0.885796	347.101000
13.703894	1.284556	0.887480	347.601000
13.724458	1.279324	0.889385	348.102000
13.744854	1.274614	0.891233	348.601000
13.764380	1.269467	0.893102	349.102000
13.785969	1.263981	0.894848	349.601000
13.806533	1.258686	0.896585	350.101000
13.826810	1.252332	0.898441	350.601000
13.847764	1.244115	0.900176	351.101000
13.869953	1.234961	0.901636	351.601000
13.890238	1.226693	0.903113	352.101000
13.910487	1.219619	0.904854	352.602000
13.930735	1.212857	0.906641	353.101000
13.949942	1.204394	0.908345	353.601000
13.972016	1.194507	0.910129	354.101000
13.992282	1.185272	0.911922	354.601000
14.013764	1.175813	0.913595	355.101000
14.035159	1.165811	0.915331	355.601000
14.056464	1.157284	0.917178	356.101000
